M,I,D,Gini,M20,C,A,mass
0,0,0.0964097259164564,0.504693664799751,-1.84264087616071,3.85173176273655,0.134364140563019,10.3595
0.0897667733110771,0.646987662322885,0.495503287577299,0.287995253794197,-0.966810379643138,2.55744361881919,0.113481849978483,10.248
0.00727820844099914,0.43979519237624,0.0201748665145731,0.517034044130523,-1.25027919530509,2.92576628192597,0.152033565393288,10.1825
0.0046080117965102,0.479312749097321,0.0911083571767664,0.303455775671215,-1.25046097550599,2.43468084846484,0.0528363459181662,10
0.000239234449760766,0,0.0660364009677019,0.536113882926862,-1.80672778699131,4.24644531067773,0.115284111189335,9.84948
0.00148238576909662,0.208374023109464,0.0956030359117123,0.414133117056746,-1.8123780704606,3.43372796562925,0.109956741082384,10.5346
0.00350050569589205,0.169507505623846,0.145527482558766,0.410450597439691,-1.56937007721306,3.19465039349398,0.192255003655493,10.6423
0.000757862826828344,0,0.121663975172084,0.542555452114619,-1.74147360143952,4.01173366940404,0.111603219238922,9.99849
0.000205778959101432,0.0177582375131751,0.088668624131627,0.426854838166625,-1.56344614404821,2.97905391682343,0.0888420622831414,10.1986
0.0162337662337662,0.915488683463515,0.366594768585419,0.466351952522434,-1.00842252554612,2.31602597619163,0.17093501164584,9.84534
0.00166253112050441,0.0854148286934403,0.0698735381332973,0.514834547419262,-1.94146758434975,3.67535222162884,0.179736046611699,9.87808
0.0178046826315321,0.790582898471523,0.492622985678013,0.397682737305622,-1.02954273740073,1.75552133700839,0.156698035072434,10.0911
0.000445000695313586,0,0.0323861507425996,0.557578969862245,-2.00995188865504,4.23052095190937,0.117883512228031,10.4229
0.00244531473875251,0.641242100917913,0.132209707493433,0.456952034793859,-1.1713287078541,2.50046547590568,0.223828936129359,10.4165
0,0,0.110121160276002,0.505596302674748,-1.60945387885162,3.74557462116947,0.140542684120557,10.0086
0.00124545344848391,0.144283649524959,0.068899351326086,0.468824654664978,-1.82108620216868,2.9150740536832,0.161357187006103,10.0035
0.0111533210415816,0.545337015563943,0.092780811504119,0.434817719526611,-1.54793451764383,2.71353849570872,0.155744892003354,10.5496
0.00742424242424242,0.733583795743616,0.140690215588974,0.458057743740875,-1.42951432707871,2.55969130753309,0.123452566570093,9.88527
6.64540138224349e-05,0,0.0555487487758617,0.587685533909829,-1.88258551553808,4.10431307292845,0.0910188906989702,9.92638
0.0332225913621262,0.96956766503166,0.523309225895316,0.302737033545329,-1.11057849989439,2.42269861538942,0.108004747150617,10.6189
0.00021525641822887,0.0185799866031795,0.0210395656158712,0.558251113315734,-2.36248474431016,4.70901616469603,0.230566866479696,11.1596
0.00115916829674708,0,0.0525012048642041,0.506573127563305,-1.85218370704674,3.88586350530103,0.0652007167914742,10.0943
0.00276520517338677,0.0210226884085762,0.151134846831701,0.913983990226315,-1.51874262410464,3.16675262904122,0.820696658973426,10.7321
0.0100245499181669,0.768341574419704,0.119162294051032,0.408251481035817,-1.28508423363808,3.57967387958307,0.185385353190958,10.5883
0.000155898146544258,0,0.0156528254767036,0.502892959471363,-1.98583379338965,3.99425097965635,0.0507750533647013,9.96195
0.00013479586850663,0.00726989676590349,0.0246981930029235,0.45675427866082,-1.72421193360457,2.7130950431696,0.0527827115034511,9.94176
0,0,0.071003514101587,0.502523946409853,-1.58689418233738,4.14728319755641,0.151677219625447,10.3474
0.00094847775175644,0.171467992025645,0.0055699975614326,0.34896117717144,-1.97664129025268,3.18008576739178,0.0511013856266078,10.7955
0,0,0.0177655698875871,0.514511563203042,-1.98111641512723,4.33386185227672,0.0245816380100519,10.7626
0.0131808278867102,0.113179364926311,0.0508761086139873,0.317969831685057,-1.91969723616741,3.08255597201494,0.0702627102605836,10.7682
0.0937864942295359,0.497471379639422,0.359562328725372,0.546246233965843,-1.12093052356976,2.00590912951539,0.344083184458406,10.6261
0,0,0.0764389283454529,0.529400438239552,-1.84709501461145,4.32822488375345,0.136897979737665,10.4962
0.000325375433192145,0.0418399893201749,0.0314165381081292,0.556025871746221,-2.16190775518223,4.28861315293195,0.0895897224156384,10.6676
0.00144222563577402,0.98067123039542,0.366822829077877,0.414816921039937,-1.27704890443506,2.73461958480401,0.180338484625528,10.5075
0.00103957471943296,0.51074772547908,0.619642844858796,0.452404595774733,-0.913425785120902,1.89493836592669,0.450203127821655,10.4697
2.69541778975741e-05,0,0.0849236058238856,0.473928758861614,-1.76000616881859,3.28579474146583,0.138321082355329,9.84934
0,0,0.0781397643094957,0.647470519330448,-1.8050425229258,3.97356630114099,0.219834891931583,10.1548
9.26955876900259e-05,0,0.0767285417994083,0.570921994373696,-1.6599279492039,3.8517108443255,0.155682421386359,9.98056
0.00383259236547601,0.848849714332017,0.062365922449537,0.462785369888802,-1.10671264839795,2.55634010502355,0.130845568288684,9.84193
0.00739371534195934,0.0560639594076399,0.143524398491342,0.572720567542585,-1.9705663394328,3.3791550865043,0.42227877483072,9.85585
0.000262054507337526,0.248052974195072,0.048526209465954,0.310941664222591,-1.58256497320367,3.34382257559452,0.0861106291784061,10.2492
0.029141265898999,0.349690309815213,0.0414489136933539,0.194572453888236,-1.1186944271126,2.44200667099391,0.072328450537479,9.99202
6.17917784894428e-05,0.00879258405440479,0.0519285441772965,0.49188446579584,-2.14132532308361,4.340636901699,0.0694607731839565,10.8387
4.10703855140187e-05,0,0.0726149054669267,0.434318729496727,-1.55629823616202,2.63497971382735,0.0844140071930069,9.87115
0,0,0.0541089997470503,0.521675223384875,-1.93080130241019,4.18140248582822,0.112572725229525,10.4645
4.74732369626623e-05,0,0.088712218267458,0.407212506566423,-1.82441528183892,3.18705572967437,0.100943187896586,11.1981
0.00174676457757743,0.0209707823388773,0.157304280257914,0.543500486585641,-1.70201342010422,2.77235398052624,0.160185632424065,10.2697
0.0380499405469679,0.544183977841527,0.415042430694461,0.391288035325712,-1.03598252949184,2.76181767170245,0.131341870108734,10.0183
0.0406165089478122,0.966400965072532,0.626361815567284,0.431476135188837,-0.728867742007536,1.69350222311073,0.175355650966243,10.5487
3.61441428416525e-05,0,0.0799546944482197,0.53842464675898,-2.00989019654107,4.1383690898774,0.120717783422351,10.9518
0.0206896551724138,0.583371519082591,0.681643384374147,0.429565051385261,-0.716163544480654,2.0264398512356,0.226823277776414,11.0819
0.00015852885225111,0,0.0296377535790604,0.521753822655817,-1.93276816867042,4.38192733605922,0.0601662726185057,10.9522
